entity_type,name,category,city,address,phone,website,services,source,source_url,latitude,longitude,status,notes,slug
organization,Hospital Santa Casa,Hospital,Pimenta,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/4582661138,-20.4699628,-45.9575137,review,Dados públicos importados para conferência antes da publicação.,hospital-santa-casa-pimenta
organization,Consultório Dr Gabriel Tavares Pediatra,Médico / clínica,Pimenta,Praça Tuiuti 114,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/11649428691,-20.4707002,-45.9570485,review,Dados públicos importados para conferência antes da publicação.,consultorio-dr-gabriel-tavares-pediatra-pimenta
organization,Bruna Lopes - Fisioterapia e Pilates,Fisioterapia,Pimenta,Rua Crispim Elias da Cunha 102,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/961290314,-20.4719755,-45.9553158,review,Dados públicos importados para conferência antes da publicação.,bruna-lopes-fisioterapia-e-pilates-pimenta
organization,Drogaria Nossa Senhora do Carmo,Farmácia,Arcos,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/2993031182,-20.3683257,-45.6628188,review,Dados públicos importados para conferência antes da publicação.,drogaria-nossa-senhora-do-carmo-arcos
organization,Hospital Municipal,Hospital,Arcos,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/295462260,-20.3680476,-45.6641635,review,Dados públicos importados para conferência antes da publicação.,hospital-municipal-arcos
organization,Fundação Municipal de Saúde e Assistência de Arcos - FUMUSA,Clínica,Arcos,Rua Vinte e Cinco de Dezembro 20',+55 37 3351 1875,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/577232082,-20.2846958,-45.5400886,review,Dados públicos importados para conferência antes da publicação.,fundacao-municipal-de-saude-e-assistencia-de-arcos-fumusa-arcos
organization,Hospital Municipal Sao Jose de Arcos,Hospital,Arcos,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/643066602,-20.2913405,-45.5435434,review,Dados públicos importados para conferência antes da publicação.,hospital-municipal-sao-jose-de-arcos-arcos
organization,Santa Casa de Arcos,Hospital,Arcos,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/662878863,-20.2842911,-45.5406229,review,Dados públicos importados para conferência antes da publicação.,santa-casa-de-arcos-arcos
organization,Unidade Básica de Saúde Zona Norte,Clínica,Arcos,Rua João Jovino 335,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/742730844,-20.2706637,-45.5421273,review,Dados públicos importados para conferência antes da publicação.,unidade-basica-de-saude-zona-norte-arcos
organization,Policlínica,Hospital,Arcos,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/819785296,-20.1407385,-45.5079574,review,Dados públicos importados para conferência antes da publicação.,policlinica-arcos
organization,Farmácia Brasil,Farmácia,São Roque de Minas,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/2700555857,-19.9963082,-46.2196265,review,Dados públicos importados para conferência antes da publicação.,farmacia-brasil-sao-roque-de-minas
organization,Policlínica Municipal,Clínica,São Roque de Minas,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/4710533140,-19.9966382,-46.2179638,review,Dados públicos importados para conferência antes da publicação.,policlinica-municipal-sao-roque-de-minas
organization,Policlínica Municipal Avelino Rodrigues da Silva,Clínica,São Roque de Minas,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/4710600866,-19.9949296,-46.2220792,review,Dados públicos importados para conferência antes da publicação.,policlinica-municipal-avelino-rodrigues-da-silva-sao-roque-de-minas
organization,Hospital Municipal,Hospital,São Roque de Minas,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/5168865622,-20.2462598,-46.3632675,review,Dados públicos importados para conferência antes da publicação.,hospital-municipal-sao-roque-de-minas
organization,Hospital Municiapl,Hospital,São Roque de Minas,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/668678506,-20.3461664,-46.8576962,review,Dados públicos importados para conferência antes da publicação.,hospital-municiapl-sao-roque-de-minas
organization,Hospital Santa Casa,Hospital,Piumhi,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/4582661138,-20.4699628,-45.9575137,review,Dados públicos importados para conferência antes da publicação.,hospital-santa-casa-piumhi
organization,Consultório Dr Gabriel Tavares Pediatra,Médico / clínica,Piumhi,Praça Tuiuti 114,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/11649428691,-20.4707002,-45.9570485,review,Dados públicos importados para conferência antes da publicação.,consultorio-dr-gabriel-tavares-pediatra-piumhi
organization,Bruna Lopes - Fisioterapia e Pilates,Fisioterapia,Piumhi,Rua Crispim Elias da Cunha 102,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/961290314,-20.4719755,-45.9553158,review,Dados públicos importados para conferência antes da publicação.,bruna-lopes-fisioterapia-e-pilates-piumhi
organization,Farmácia Nossa Senhora Aparecida,Farmácia,Bambuí,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/1659779620,-20.0113632,-45.9772674,review,Dados públicos importados para conferência antes da publicação.,farmacia-nossa-senhora-aparecida-bambui
organization,Farmácia Brasil,Farmácia,Bambuí,Rua José Augusto Chaves 404,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/2485009786,-20.0109567,-45.9790367,review,Dados públicos importados para conferência antes da publicação.,farmacia-brasil-bambui
organization,Uai Farma,Farmácia,Bambuí,Rua dos Expedicionários 66,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/2485009794,-20.0117862,-45.9786148,review,Dados públicos importados para conferência antes da publicação.,uai-farma-bambui
organization,Drogaria Souza,Farmácia,Bambuí,Rua Alzira Torres 501,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/2702674157,-20.0172525,-45.9841821,review,Dados públicos importados para conferência antes da publicação.,drogaria-souza-bambui
organization,Lugy Cosméticos,Farmácia,Bambuí,Rua dos Expedicionários 114,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/node/2869566777,-20.0119218,-45.9783341,review,Dados públicos importados para conferência antes da publicação.,lugy-cosmeticos-bambui
organization,Unidade Básica de Saúde da Família Dr. Jurandir Chaves,Clínica,Bambuí,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/254809718,-20.003341,-45.977401,review,Dados públicos importados para conferência antes da publicação.,unidade-basica-de-saude-da-familia-dr-jurandir-chaves-bambui
organization,Casa de Saúde São Francisco de Assis,Hospital,Bambuí,,+55 37 34316600,https://www.fhemig.mg.gov.br/atendimento-hospitalar/complexo-de-reabilitacao-e-cuidado-ao-idoso/casa-de-saude-sao-francisco-de-assis,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/254815440,-19.9682954,-46.0144133,review,Dados públicos importados para conferência antes da publicação.,casa-de-saude-sao-francisco-de-assis-bambui
organization,Farmácia Lima,Farmácia,Bambuí,Rua Antero Torres 264,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/507961801,-20.0160711,-45.9746526,review,Dados públicos importados para conferência antes da publicação.,farmacia-lima-bambui
organization,Naturalfarma,Farmácia,Bambuí,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/508255872,-20.0140648,-45.9750951,review,Dados públicos importados para conferência antes da publicação.,naturalfarma-bambui
organization,Hospital Nossa Senhora do Brasil,Hospital,Bambuí,,,,,OpenStreetMap Overpass,https://www.openstreetmap.org/way/508297550,-20.0090555,-45.9822285,review,Dados públicos importados para conferência antes da publicação.,hospital-nossa-senhora-do-brasil-bambui
